Country,amount_of_stores
Andorra,1
UnitedArabEmirates,144
Argentina,108
Austria,18
Australia,22
Aruba,3
Azerbaijan,4
Belgium,19
Bulgaria,5
Bahrain,21
BruneiDarussalam,5
Bolivia,4
Brazil,102
Bahamas,10
Canada,1415
Switzerland,61
Chile,96
China,2734
Colombia,11
CostaRica,11
Cyprus,10
CzechRepublic,28
Germany,160
Denmark,21
Egypt,31
Spain,101
Finland,8
France,132
UnitedKingdom,901
Greece,28
Guatemala,7
Hungary,16
Indonesia,268
Ireland,73
India,88
Jordan,17
Japan,1237
Cambodia,4
Korea(South),993
Kuwait,106
Kazakhstan,8
Lebanon,29
Luxembourg,2
Morocco,9
Monaco,2
Mexico,579
Malaysia,234
Netherlands,59
Norway,17
NewZealand,24
Oman,12
Panama,5
Peru,89
Philippines,298
Poland,53
PuertoRico,23
Portugal,11
Qatar,18
Romania,27
RussianFederation,109
SaudiArabia,102
Sweden,18
Singapore,130
Slovakia,3
ElSalvador,11
Thailand,289
Turkey,326
TrinidadandTobago,3
"Taiwan,RepublicofChina",394
UnitedStatesofAmerica,13311
VietNam,25
SouthAfrica,3
